代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
D062400,246,水果,甜柿,52,85.2,0.5,0.1,13.8,0.5,1.3,0.4,,134.8,,0.01,0.03,0.5,0.05,,79,10,150,6,19,1.2,0.1,9
D063400,247,水果,鳳梨,46,87,0.9,0.2,11.6,0.5,1.4,0.3,,5.1,,0.06,0.02,0.2,0.07,,9,1,40,14,8,0.2,0.5,18
D064400,248,水果,椰子,18,94.5,0.1,0,4.9,0.1,0,0.5,,0,,0,0,0.1,,,1,7,190,4,7,0,0.1,21
D065400,249,水果,聖女蕃茄,35,91.4,1.4,1.3,5.4,0.8,1.4,0.5,,716.7,,0.01,0.04,0.5,0.04,,67,17,180,10,21,0.6,0.2,17
D066500,250,水果,椰子粉,660,2,7.2,66.3,22.6,4.7,14.1,1.9,,0,0,0.01,0.01,0.88,0.12,,1,29,742,105,259,3.1,1.5,5
D067300,251,水果,柿餅,188,46.4,1.4,Tr,50.9,1.7,11.8,1.3,0,5.5,0.58,0.01,0.01,0,0.1,,1.6,6,557,30,44,1,0.3,23
D068600,252,水果,紅棗,252,35.8,3.2,0.3,59.5,2.1,7.7,1.2,,0,0.19,0.09,0.12,1.95,0.12,,1,10,597,35,70,1.7,0.4,50
D069600,253,水果,黑棗,254,34.8,2.7,0.2,60.9,3.1,10.8,1.3,,0,0,0.06,0.15,1.56,0.15,,1,3,600,34,53,2.4,0.4,67
D070600,254,水果,甘蔗,51,86.7,0.6,0.9,11.5,0.1,0.3,0.4,,0,,0.02,0.01,0,0.01,,1.3,,,,,,0,0
D071600,255,水果,果菜汁,43,89,0.1,0.1,10.7,0.1,0.2,0.2,,0,,,,,,0,,,,,,,0,0
